"LEVEL"	"TAXA"	"Project_248"	"SSputum-dil-DNase-cDNA"	"SSputum-dil-DNase-RAB"	"SSputum-dil-no-cDNA"	"SSputum-dil-no-RAB"	"SSputum-DNase-cDNA"	"SSputum-DNase-RAB"	"SSputum-no-cDNA"	"SSputum-no-RAB"
"class"	"Actinobacteria"	0	77.47643	0	25.57721	0	71.77754	0	23.82496	100
"class"	"Bacilli"	8.32286	0	0	7.87264	0	0	0	10.47293	0
"class"	"Bacteroidia"	71.98234	0	0	0	0	0	0	1.85827	0
"class"	"Betaproteobacteria"	0	8.56136	0	17.37323	0	0	0	10.66978	0
"class"	"Clostridia"	0	0	0	0	0	0	0	0.90434	0
"class"	"Gammaproteobacteria"	0	13.96221	0	49.17693	100	28.22246	0	52.11151	0
"class"	"Negativicutes"	19.69479	0	0	0	0	0	0	0.1582	0
"family"	"Actinomycetaceae"	0	0	0	0	0	0	0	0.21302	0
"family"	"Bacillales uncl"	0	0	0	0	0	0	0	0.14797	0
"family"	"Clostridiales Family XI Incertae Sedis"	0	0	0	0	0	0	0	0.90434	0
"family"	"Comamonadaceae"	0	0.7304	0	0	0	0	0	0	0
"family"	"Coriobacteriaceae"	0	0	0	0	0	0	0	0.26195	0
"family"	"Corynebacteriaceae"	0	0	0	23.29752	0	1.70137	0	19.86486	100
"family"	"Dermacoccaceae"	0	14.19004	0	0	0	0	0	0	0
"family"	"Enterobacteriaceae"	0	0	0	3.84821	0	0	0	4.77664	0
"family"	"Enterococcaceae"	0	0	0	0	0	0	0	0.16697	0
"family"	"Lactobacillaceae"	0	0	0	2.43381	0	0	0	2.65346	0
"family"	"Microbacteriaceae"	0	47.52366	0	0	0	70.07617	0	0	0
"family"	"Micrococcaceae"	0	0	0	2.27968	0	0	0	3.48514	0
"family"	"Moraxellaceae"	0	13.96221	0	15.32731	100	28.22246	0	14.02089	0
"family"	"Neisseriaceae"	0	7.83096	0	17.37323	0	0	0	10.66978	0
