"LEVEL"	"TAXA"	"Project_248"	"Project_SSputum-dil-DNase-cDNA"	"Project_SSputum-dil-DNase-RAB"	"Project_SSputum-dil-no-cDNA"	"Project_SSputum-dil-no-RAB"	"Project_SSputum-DNase-cDNA"	"Project_SSputum-DNase-RAB"	"Project_SSputum-no-cDNA"	"Project_SSputum-no-RAB"
"class"	"Actinobacteria"	155	4388	1665	501	26	9777	2967	4446	24
"class"	"Alphaproteobacteria"	1	180	8	4	0	71	8	14	0
"class"	"Bacilli"	1066	3497	3790	3669	158	9233	6556	10332	148
"class"	"Bacteroidia"	975	778	728	311	21	2025	1083	1103	17
"class"	"Betaproteobacteria"	50	3775	2548	369	8	7272	3467	4234	10
"class"	"Clostridia"	60	78	7	32	1	212	94	35	0
"class"	"Coriobacteriia"	14	46	112	3	0	83	105	78	0
"class"	"Cytophagia"	0	1	0	0	0	0	0	0	0
"class"	"Deinococci"	0	3	0	0	0	2	0	0	0
"class"	"Deltaproteobacteria"	0	0	0	0	0	2	0	0	0
"class"	"Epsilonproteobacteria"	0	1	0	0	0	11	0	0	0
"class"	"Flavobacteriia"	0	48	108	3	1	124	194	14	0
"class"	"Fusobacteriia"	27	856	1422	97	0	2562	1494	154	0
"class"	"Gammaproteobacteria"	216	62865	34915	16287	502	159306	44963	78303	489
"class"	"Mollicutes"	0	136	178	0	0	360	673	7	2
"class"	"Negativicutes"	76	327	173	35	6	844	714	211	0
"class"	"Spirochaetia"	27	22	165	5	0	68	51	29	0
"family"	"Acidaminococcaceae"	0	0	0	0	2	5	1	2	0
"family"	"Actinomycetaceae"	2	0	0	0	0	5	0	10	0
"family"	"Adenoviridae"	0	2	0	2	0	3	0	22	2
"family"	"Aerococcaceae"	0	4	17	1	0	6	15	0	0
"family"	"Aeromonadaceae"	0	0	0	0	0	0	0	4	0
"family"	"Alcaligenaceae"	0	52	86	141	1	69	132	1009	0
"family"	"Alcanivoracaceae"	0	0	0	0	0	0	0	2	0
"family"	"Alteromonadaceae"	0	0	0	0	0	0	1	0	0
"family"	"Anelloviridae"	1	1	0	0	0	0	0	8	0
